username,password_hash,password_plain_DEMO_ONLY,user_idx,user_id,n_interactions,activity_level
light_01,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,238222,3bccb6e6be8f7f0d516e3b2e56286d9fdcd94924,5,light
light_02,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,566700,d47ab2e67738a61f0b85b10175a48962a9c38bc1,7,light
light_03,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,317727,421d86234e97ade961a0a21c3d113b1e79c28cac,8,light
light_04,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,510420,a292bc88c6644babd702811560f09167905c3466,11,light
light_05,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,629324,4337363a07a4150c00e441db2c844bc55d7210da,7,light
light_06,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,614843,b5222f674056e659e0f9772a2c7ebd8bb3927a55,10,light
light_07,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,527970,50f5473068544b8badddfb2bca4dc628e01ef7ad,14,light
light_08,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,264012,3630ca3ffc76d3babd6f7a2f84a96da5ba548332,5,light
light_09,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,188039,4915f1ec5b06cecd4d300abdf9d5fef901c884de,5,light
light_10,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,551246,3bb76f889e0f8bf5651f85eb2c0448acb329e1cb,8,light
light_11,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,61535,689cf14b160d1e944174f42cee9a2a7e2baf8434,5,light
light_12,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,350858,88fe5958e18ea2f672e0508062d6fa1aafe8f278,5,light
light_13,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,562982,af812628fdbecfd7b3d95ee660755ff155fd610a,7,light
light_14,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,106118,1f22c06fc85b41cbf464e120d7642e22626e36f4,6,light
light_15,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,181257,070ee1cf4ee7dbeb2199980ea48a375b9d1a02cc,6,light
light_16,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,527545,4c616ac7c1883164d9bf4f6c1fa3deb6fe2bf801,11,light
light_17,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,638597,9dfec04259bc4516d69d37ac6980f2d420ca4265,12,light
light_18,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,349050,76adf8941a08ecc5802fb7e89fb6b93a7dfbf408,5,light
light_19,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,289454,2ebc74ffed7beeed1d1654aa7d98630b60b94ef5,6,light
light_20,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,748241,d5677a851a3943c26b35e61d620a6a35775b4ac8,7,light
medium_01,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,760456,4f5196133ea1ccfdb3d09c47d53411f5dee4c255,33,medium
medium_02,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,341204,29ad733600e114d50d7bf2a1d50dd810d9402e48,16,medium
medium_03,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,518811,f55af61d0a1e3f1b06f9655768c3a98caa1b57df,15,medium
medium_04,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,286066,0dac12de188ec6b8fa9f71b88b2cd9d4025ef5f1,15,medium
medium_05,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,764074,7225926a8dcf93eb8bf363907cf2515357ad613b,34,medium
medium_06,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,714686,8b02131b322914368f32db9c1154866756fc2438,29,medium
medium_07,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,667521,bbaa0275f84e569e6ab57059f806e997d5b7d62e,33,medium
medium_08,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,592707,d7274497eb52ace73f5d90ff2838b9fc61711e8a,19,medium
medium_09,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,108057,32a6c1450fa381c168dc0ccaf7bc1ff690eea9ba,17,medium
medium_10,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,505119,6d8c7e80861c908f3ff19b85a64b8073dae9ecfe,15,medium
